TN	hand	digit	Corr	TargetX	TargetY	EnsPercent	RawX	RawY	RawZ	ForceX	ForceY	ForceZ	RT	MT	EnsForce	measStartTime	measEndTime	BN	TrueForce
90	2	4	1	-0.1	0	0	0.017342494	-0.000824748	0.005836149	-0.05303093	-0.002636089	0.019247974	17.00540481	5584.873679	0.017206855	1910717.497	1922655.4	1	0.2
91	2	4	1	0	-0.1	0	0.006097655	-0.019859292	0.010250303	-0.018584288	-0.058056519	0.031117125	17.19394045	5240.614881	0.01639058	1927701.624	1939356.716	1	0.3
92	2	4	1	0.21	-0.21	0	-0.062179558	-0.056785257	0.013759316	0.185826549	-0.169578908	0.04063707	16.95289198	10834.75124	0.016750973	1944419.694	1962156.955	1	1.15
93	2	4	1	0.07	-0.07	0	-0.014671192	-0.011084797	0.004632212	0.04381936	-0.032671745	0.014308629	38.9648846	4733.904726	0.016054407	1967207.39	1978325.358	1	0.25
94	2	4	1	0.49	-0.49	0	-0.156008487	-0.153842258	0.036016596	0.466860168	-0.461526774	0.108507558	33.71688364	8251.633824	0.015644154	1983374.555	1999143.526	1	3.25
95	2	4	1	0.21	0.21	0	-0.059090221	0.059599006	-0.013630603	0.176914601	0.180642066	-0.042265122	49.59326261	12923.94173	0.016097338	2004207.102	2023800.915	1	1.1
96	2	4	1	-0.49	0.49	0	0.158881377	0.1490488	-0.002174594	-0.476708869	0.447664309	-0.007347768	5361.311245	7911.632212	0.015388831	2028857.842	2043796.232	1	3.05
97	2	4	1	0.07	0.07	0	-0.010282462	0.014566255	-0.000360131	0.030394217	0.043116118	-0.002407929	7450.814259	7790.765546	0.015264876	2048859.186	2062647.418	1	0.25
98	2	4	1	-0.9	0	0	0.285869624	-0.003424958	0.015888371	-0.857349917	-0.008980104	0.047344674	7467.236552	12379.16889	0.016033549	2067709.266	2087532.022	1	4.1
99	2	4	1	0	-0.5	0	0.000520766	-0.149969684	0.043307625	-0.001076757	-0.450135638	0.130380645	16.63708565	9007.034896	0.014006152	2092593.69	2108705.764	1	2.4
100	2	4	1	0.49	0.49	0	-0.154423558	0.149440693	-0.032513185	0.46304409	0.448807617	-0.097127562	22.38468784	10800.98111	0.014021656	2113766.898	2131650.725	1	2.95
101	2	4	1	0	0.1	0	-0.000380063	0.017748017	-0.001852848	0.000978342	0.053146942	-0.005878984	5733.468214	5907.093863	0.014105783	2136697.465	2148585.195	1	0.3
102	2	4	1	0	-0.1	0	0.001431412	-0.018241337	0.008668656	-0.003873437	-0.055403767	0.025136205	7556.180888	8068.123728	0.015104318	2153648.541	2168053.334	1	0.15
103	2	4	1	0.49	0.49	0	-0.153823648	0.150096002	-0.036031885	0.461309097	0.449219821	-0.109056974	5049.69063	9067.076753	0.01484847	2173133.392	2190071.055	1	2.75
104	2	4	1	0.5	0	0	-0.153556252	0.006822131	-0.014440986	0.460798232	0.020401654	-0.044925154	6450.605302	8684.51021	0.014021789	2195135.501	2210555.448	1	1.9
105	2	4	1	-0.1	0	0	0.018882914	0.003534155	0.007324019	-0.055612924	0.010796681	0.020552969	6983.828601	7517.693359	0.014511391	2215605.658	2229445.901	1	0.15
106	2	4	1	-0.35	0.35	0	0.108415487	0.102859245	-0.004844807	-0.326152801	0.308901428	-0.014168203	5083.620118	8117.658643	0.01485122	2234504.644	2249891.406	1	1.95
107	2	4	1	0	0.7	0	-0.002008112	0.217406353	-0.027353158	0.005700643	0.651377457	-0.0832039	7700.488333	18412.57398	0.01373185	2254955.332	2281675.987	1	3.5
108	2	4	1	-0.64	0.64	0	0.206315807	0.200832901	-0.004225919	-0.617814496	0.603243195	-0.014142623	6283.644405	17807.90588	0.015236308	2286724.154	2311910.199	1	4
109	2	4	1	-0.49	-0.49	0	0.162088542	-0.150944198	0.042540517	-0.486783534	-0.452832594	0.128399762	5400.035446	8934.521242	0.015260762	2316974.09	2333302.058	1	3.9
110	2	4	1	0	-0.1	0	0.000983236	-0.01773298	0.00856307	-0.003402878	-0.05319894	0.023766574	23.0042663	5551.577263	0.015147642	2338359.618	2350296.986	1	0.3
111	2	4	1	0.7	0	0	-0.219315924	0.002320834	-0.010290489	0.658595158	0.005991423	-0.028719945	26.96351489	8381.980149	0.014642515	2355362.144	2370831.227	1	2.5
112	2	4	1	-0.07	-0.07	0	0.011658713	-0.01260116	0.008784222	-0.035688264	-0.03773874	0.026901991	8100.579574	10900.89808	0.013621822	2375912.461	2393348.978	1	0.4
113	2	4	1	0.64	-0.64	0	-0.205522967	-0.199237449	0.044708177	0.615144652	-0.598294995	0.134353417	5630.772081	11304.12806	0.015231431	2398397.484	2418300.975	1	4.6
114	2	4	1	-0.07	0.07	0	0.019641274	0.007419853	0.007734749	-0.057985113	0.022874576	0.02379935	5977.791449	6534.348314	0.015088196	2423367.878	2436285.051	1	0.3
115	2	4	1	0	-0.5	0	-0.003195374	-0.151082851	0.05335978	0.009780337	-0.45376646	0.160354003	9040.061819	11757.07565	0.01452855	2441349.935	2460186.51	1	2.1
116	2	4	1	-0.5	0	0	0.149447003	-0.001652344	0.02013608	-0.4486647	-0.004503861	0.05930959	127.3684107	10045.05236	0.015285186	2465238.315	2482060.466	1	1.75
117	2	4	1	0.21	-0.21	0	-0.060572285	-0.05641582	0.01630667	0.181101839	-0.169020875	0.049332003	17.30188349	7268.384322	0.014175478	2487138.98	2501221.752	1	1.2
118	2	4	1	-0.64	-0.64	0	0.205989939	-0.200642561	0.0834395	-0.617160585	-0.601377404	0.25123404	16.34753574	9351.317033	0.014234641	2506286.902	2523090.186	1	4.05
119	2	4	1	0	0.3	0	-0.000638046	0.085345552	-0.013970709	0.00181703	0.255097946	-0.041957903	26.66849489	10945.23167	0.014773809	2528149.573	2546141.878	1	1.35
120	2	4	3	-0.9	0	0	0.246714995	-0.05264839	0.053048753	-0.739627077	-0.158592557	0.159558251	22.52836879	0	0.879495273	2551208.971	2581227.177	1	3.95
121	2	4	1	-0.64	-0.64	0	0.225609439	-0.206137249	0.102600015	-0.677540441	-0.616663807	0.307662715	16.89855578	11152.05053	0.013267721	2586308.768	2607411.592	1	3.95
122	2	4	1	-0.07	0.07	0	0.012171378	0.011992665	0.002657487	-0.036740718	0.037240396	0.008796448	16.57472666	6000.881049	0.012770993	2612453.851	2624429.449	1	0.3
123	2	4	1	0	0.9	0	0.002941983	0.286217477	-0.024248441	-0.007757763	0.858296368	-0.071692451	17.30735358	9301.471781	0.01166809	2629526.454	2646280.728	1	4.35
124	2	4	1	0.3	0	0	-0.084292351	-0.002527842	-0.002805725	0.252035451	-0.007907218	-0.008920723	16.58785489	6033.508291	0.01274999	2651343.476	2664831.081	1	1.05
125	2	4	1	-0.21	-0.21	0	0.062862213	-0.054892095	0.02434251	-0.187842144	-0.166974502	0.073439524	17.04114271	7851.809888	0.012405641	2669897.376	2684965.77	1	1
126	2	4	1	0.35	0.35	0	-0.106950134	0.105053174	-0.016373333	0.32185385	0.314868198	-0.048616452	17.1417923	10618.03954	0.012126929	2690027.636	2707600.68	1	2.1
127	2	4	1	0.5	0	0	-0.152963721	0.004632388	-0.005555871	0.458470363	0.01412375	-0.015843626	22.51305254	7034.752918	0.012627007	2712665.838	2726174.178	1	1.7
